Organisation	Peering Contact	Switch	AS number	LAN	ISP (v4)	ISP (v6)	Multicast	MDX	Peers with route server	Location	Connection
"INET-People Provider Services"	"peering@as25074.net"	"edge-tel-005"	"25074"	"ISP"	"195.69.144.155"	""	""	""	yes	"TeleCity 2"	"1000baseLX"	
"Info.nl"	"infopeering@info.nl"	"edge-sar-001"	"20953"	"ISP"	"195.69.144.203"	""	""	""	yes	"SARA"	"1000baseLX"	
"Infonet"	"peering@infonet.com"	"edge-sar-001"	"3300"	"ISP"	"195.69.144.44"	""	""	""	no	"SARA"	"1000baseSX"	
"InfoPact Netwerkdiensten B.V."	"peering@infopact.nl"	"edge-nik-003"	"21221"	"ISP"	"195.69.144.102"	"2001:7f8:1::a502:1221:1"	""	""	yes	"NIKHEF"	"1000baseSX"	
"Init Seven AG"	"noc@init7.net"	"pxc-sar-111"	"13030"	"ISP"	"195.69.144.210"	"2001:7f8:1::a501:3030:1"	""	""	yes	"SARA"	"10000baseLR"	
"InterBox Internet"	"noc@box.nl"	"edge-glo-007"	"16298"	"ISP"	"195.69.144.183"	""	""	""	yes	"Global Switch"	"100baseTX"	
"InterConnect Services B.V."	"peering@interconnect.nl"	"edge-glo-007"	"9150"	"ISP"	"195.69.145.179"	"2001:7f8:1::a500:9150:2"	""	""	no	"Global Switch"	"1000baseSX"	
"InterConnect Services B.V."	"peering@interconnect.nl"	"edge-sar-001"	"9150"	"ISP"	"195.69.144.139"	"2001:7f8:1::a500:9150:1"	""	""	no	"SARA"	"1000baseSX"	
"Intermax BV"	"peering@intermax.nl"	"edge-sar-001"	"24586"	"ISP"	"195.69.145.41"	"2001:7f8:1::a502:4586:1"	""	""	yes	"SARA"	"1000baseSX"	
"Internet Systems Consortium (F-Root)"	"peering@isc.org"	"edge-nik-003"	"30132"	"ISP"	"195.69.144.111"	"2001:7f8:1::a503:132:1"	""	""	yes	"NIKHEF"	"100baseTX"	
"Internet Systems Consortium"	"peering@isc.org"	"edge-nik-004"	"30132"	"ISP"	"195.69.144.140"	"2001:7f8:1::a503:132:2"	""	""	yes	"NIKHEF"	"100baseTX"	
"Internet Unie Services"	"noc@iu.nl"	"edge-tel-006"	"35260"	"ISP"	"195.69.145.69"	""	""	""	no	"TeleCity 2"	"1000baseLHA"	
"InterNLnet B.V."	"peering@internl.net"	"edge-nik-004"	"20507"	"ISP"	"195.69.144.134"	""	""	""	yes	"NIKHEF"	"100baseTX"	
"InterNLnet B.V."	"peering@internl.net"	"pxc-nik-108"	"20507"	"ISP"	"195.69.144.204"	"2001:7f8:1::a502:507:1"	""	""	yes	"NIKHEF"	"10000baseLR"	
"InterNLnet B.V."	"peering@internl.net"	"pxc-nik-108"	"20507"	"ISP"	"195.69.144.134"	""	""	""	yes	"NIKHEF"	"10000baseLR"	
"Internode Pty Ltd"	"peering@internode.com.au"	"edge-sar-002"	"4739"	"ISP"	"195.69.144.227"	"2001:7f8:1::a500:4739:1"	""	""	no	"SARA"	"1000baseLX"	
"Interoute Managed Services"	"peering@interoute.net"	"pxc-glo-107"	"8928"	"ISP"	"195.69.144.81"	""	""	""	no	"Global Switch"	"10000baseLR"	
"Interoute Managed Services"	"peering@interoute.net"	"pxc-nik-104"	"8928"	"ISP"	"195.69.144.175"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"INTICOnet"	"peering@intico.net"	"edge-tel-005"	"9031"	"ISP"	"195.69.144.180"	"2001:7f8:1::a500:9031:1"	""	""	no	"TeleCity 2"	"1000baseSX"	
"InTouch (IPv6)"	"peering@intouch.nl"	"edge-nik-003"	"8954"	"ISP"	""	"2001:7f8:1::a500:8954:1"	""	""	yes	"NIKHEF"	"10baseT"	
"InTouch"	"peering@intouch.nl"	"edge-nik-003"	"8954"	"ISP"	"195.69.144.93"	""	""	""	yes	"NIKHEF"	"1000baseSX"	
"IntroWeb Nederland B.V."	"peering@introweb.nl"	"edge-nik-003"	"20847"	"ISP"	"195.69.144.197"	"2001:7f8:1::a502:847:2"	""	""	yes	"NIKHEF"	"1000baseSX"	
"IntroWeb Nederland B.V."	"peering@introweb.nl"	"edge-tel-005"	"20847"	"ISP"	"195.69.144.222"	"2001:7f8:1::a502:847:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"IP Exchange GmbH"	"peering@ip-exchange.de"	"edge-tel-005"	"15598"	"ISP"	"195.69.144.213"	"2001:7f8:1::a501:5598:1"	""	""	yes	"TeleCity 2"	"1000baseLX"	
"IP2 Internet B.V."	"peering@ip2.net"	"edge-glo-007"	"34486"	"ISP"	"195.69.145.186"	""	""	""	yes	"Global Switch"	"1000baseSX"	
"Ipercast NETWORK"	"peering@ipercast.net"	"edge-glo-007"	"25286"	"ISP"	"195.69.145.94"	""	""	""	no	"Global Switch"	"1000baseLX"	
"IPTP Networks"	"peering@iptp.net"	"pxc-nik-103"	"41095"	"ISP"	"195.69.145.196"	""	""	""	yes	"NIKHEF"	"10000baseER"	
"IS Interned Services"	"peering@is.nl"	"pxc-glo-109"	"15879"	"ISP"	"195.69.145.67"	""	""	""	no	"Global Switch"	"10000baseLR"	
"IS Interned Services"	"peering@is.nl"	"pxc-tel-105"	"15879"	"ISP"	"195.69.144.167"	"2001:7f8:1::a501:5879:1"	""	""	yes	"TeleCity 2"	"10000baseER"	
"ISC Politie"	"peering@isc.politie.nl"	"edge-glo-007"	"16147"	"ISP"	"195.69.145.170"	""	""	""	no	"Global Switch"	"1000baseSX"	
"ISC Politie"	"peering@isc.politie.nl"	"edge-tel-005"	"16147"	"ISP"	"195.69.144.170"	""	""	""	no	"TeleCity 2"	"1000baseSX"	
"ISP Services"	"peering@isp-services.nl"	"edge-tel-005"	"24875"	"ISP"	"195.69.144.126"	"2001:7f8:1::a502:4875:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"ISPRIME B.V."	"pr@isprime.com"	"pxc-glo-107"	"23393"	"ISP"	"195.69.145.223"	""	""	""	yes	"Global Switch"	"10000baseLR"	
"iunxi BV"	"peering@iunxi.net"	"edge-tel-005"	"34968"	"ISP"	"195.69.145.81"	"2001:7f8:1::a503:4968:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"Jansen Systemberatung GmbH"	"hostmaster@dlrz.net"	"edge-tel-005"	"42184"	"ISP"	"195.69.145.210"	""	""	""	yes	"TeleCity 2"	"100baseTX"	
"Kabel Deutschland Vertrieb und Service Gmbh & Co.KG"	"peering@kabel-bb.de"	"pxc-tel-110"	"31334"	"ISP"	"195.69.145.249"	""	""	""	no	"TeleCity 2"	"10000baseER"	
"Korea Telecom"	"marketer@kt.co.kr"	"edge-nik-003"	"4766"	"ISP"	"195.69.144.232"	""	""	""	no	"NIKHEF"	"1000baseSX"	
"Korea Telecom"	"marketer@kt.co.kr"	"edge-nik-004"	"4766"	"ISP"	"195.69.145.129"	""	""	""	no	"NIKHEF"	"1000baseSX"	
"KPN Global Carrier Services"	"noc@planet.nl"	"edge-nik-003"	"8737"	"MDX"	""	""	""	"195.69.146.143"	no	"NIKHEF"	"10baseT"	
"KPN Global Carrier Services"	"noc@planet.nl"	"edge-sar-001"	"8737"	"MDX"	""	""	""	"195.69.146.142"	no	"SARA"	"10baseT"	
"KPN Mobile The Netherlands B.V."	"tspmipnet@kpn.com"	"edge-nik-003"	"64595"	"MDX"	""	""	""	"195.69.146.139"	no	"NIKHEF"	"10baseT"	
"KPN Mobile The Netherlands B.V."	"tspmipnet@kpn.com"	"edge-nik-003"	"64595"	"MDX"	""	""	""	"195.69.146.138"	no	"NIKHEF"	"10baseT"	
"KPN Wholesale Service & Op. (AS286)"	"peering@kpn.net"	"edge-nik-003"	"286"	"ISP"	"195.69.144.97"	"2001:7f8:1::a500:286:1"	""	""	no	"NIKHEF"	"1000baseSX"	
"KPN Wholesale Service & Op."	"peering@kpn.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"100baseTX"	
"KPN Wholesale Service & Op. (AS286 - ccr01)"	"peering@kpn.net"	"edge-sar-001"	"286"	""	""	""	""	""	no	"SARA"	"100baseTX"	
"KPN Wholesale Service & Op. (AS286)"	"peering@kpn.net"	"pxc-sar-101"	"286"	"ISP"	"195.69.144.144"	""	""	""	no	"SARA"	"10000baseLR"	
"KPN Wholesale Service & Op. (AS8737)"	"peering@kpn.net"	"pxc-sar-114"	"8737"	"ISP"	"195.69.144.62"	""	""	""	no	"SARA"	"50000baseLR"	
"KPN Wholesale Service & Op. (AS286)"	"peering@kpn.net"	"pxc-tel-105"	"286"	"ISP"	"195.69.144.89"	""	""	""	no	"TeleCity 2"	"10000baseER"	
"KPN Wholesale Service & Op. (AS8737)"	"peering@kpn.net"	"pxc-tel-115"	"8737"	"ISP"	"195.69.144.84"	"2001:7f8:1::a500:8737:2"	""	""	no	"TeleCity 2"	"50000baseLR"	
"Lambdanet Communications Deutschland AG"	"peering@lambdanet.net"	"edge-tel-005"	"13237"	"ISP"	""	"2001:7f8:1::a501:3237:1"	""	""	no	"TeleCity 2"	"100baseTX"	
"Lambdanet Communications Deutschland AG"	"peering@lambdanet.net"	"pxc-tel-119"	"13237"	"ISP"	"195.69.144.212"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"Leaseweb"	"peering@leaseweb.nl"	"pxc-nik-104"	"16265"	"ISP"	"195.69.145.215"	"2001:7f8:1::a501:6265:1"	""	""	yes	"NIKHEF"	"40000baseLR"	
"Leaseweb"	"peering@leaseweb.nl"	"pxc-tel-115"	"16265"	"ISP"	"195.69.144.215"	"2001:7f8:1::a501:6265:2"	""	""	yes	"TeleCity 2"	"40000baseLR"	
"Level(3) Communications"	"peering@eu.level3.net"	"edge-sar-001"	"3356"	"ISP"	"195.69.144.110"	""	""	""	no	"SARA"	"1000baseLHA"	
"Lidero Network AB"	"peering@lidero.net"	"edge-tel-005"	"25466"	"ISP"	"195.69.145.201"	"2001:7f8:1::a502:5466:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"Lie-Comtel"	"lir@lie-comtel.li"	"edge-nik-003"	"20634"	"ISP"	"195.69.145.226"	""	""	""	yes	"NIKHEF"	"100baseTX"	
"Limelight Networks"	"peering@limelightnetworks.com"	"pxc-tel-105"	"22822"	"ISP"	"195.69.145.133"	""	""	""	yes	"TeleCity 2"	"40000baseER"	
"Link11 GmbH"	"peering@link11.de"	"edge-glo-007"	"34309"	"ISP"	"195.69.145.111"	"2001:7f8:1::a503:4309:1"	""	""	yes	"Global Switch"	"1000baseLX"	
"Linxtelecom"	"peering@linxtelecom.net"	"edge-tel-005"	"3327"	"ISP"	"195.69.145.242"	"2001:7f8:1::a500:3327:1"	""	""	yes	"TeleCity 2"	"2000baseLX"	
"Localphone Limited"	"peering@localphone.com"	"edge-glo-007"	"42884"	"ISP"	"195.69.145.154"	"2001:7f8:1::a504:2884:1"	""	""	yes	"Global Switch"	"1000baseSX"	
"Luna.nl"	"peering@luna.nl"	"edge-glo-007"	"12902"	"ISP"	"195.69.144.223"	"2001:7f8:1::a501:2902:1"	""	""	yes	"Global Switch"	"1000baseSX"	
"Manx Telecom Ltd"	"peering@manx-telecom.com"	"edge-sar-001"	"13122"	"ISP"	"195.69.145.178"	""	""	""	yes	"SARA"	"1000baseSX"	
"marktplaats.nl"	"peering@marktplaats.nl"	"edge-glo-007"	"41552"	"ISP"	"195.69.145.112"	""	""	""	yes	"Global Switch"	"1000baseSX"	
"marktplaats.nl"	"peering@marktplaats.nl"	"edge-sar-001"	"41552"	"ISP"	"195.69.144.112"	""	""	""	yes	"SARA"	"1000baseSX"	
"Microsoft"	"peering@microsoft.com"	"pxc-glo-109"	"8068"	"ISP"	"195.69.145.20"	""	""	""	yes	"Global Switch"	"20000baseLR"	
"Microsoft"	"peering@microsoft.com"	"pxc-glo-109"	"8068"	"ISP"	"195.69.145.21"	""	""	""	yes	"Global Switch"	"20000baseLR"	
"Mistral Internet Group Limited"	"peering@mistral.net"	"edge-sar-001"	"8897"	"ISP"	"195.69.144.249"	"2001:7f8:1::a500:8897:1"	""	""	no	"SARA"	"1000baseSX"	
"Momax S.r.l."	"ntwk@momax.it"	"edge-tel-005"	"29438"	"ISP"	"195.69.145.199"	""	""	""	no	"TeleCity 2"	"100baseTX"	
"MTN Network Solutions (Pty) Limited"	"bgp-admin@mtnns.net"	"edge-glo-007"	"16637"	"ISP"	"195.69.144.31"	""	""	""	yes	"Global Switch"	"100baseTX"	
"MTS Allstream Inc"	"peering@allstream.com"	"edge-sar-002"	"15290"	"ISP"	"195.69.145.122"	""	""	""	no	"SARA"	"1000baseSX"	
"MTT"	"grxpeering@mtt.ru"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"10baseT"	
"Multiplay (UK) Ltd"	"peering@multiplay.co.uk"	"edge-glo-007"	"35028"	"ISP"	"195.69.145.189"	"2001:7f8:1::a503:5028:1"	""	""	yes	"Global Switch"	"1000baseLX"	
"MuntInternet"	"peering@muntinternet.com"	"pxc-eun-113"	"21392"	"ISP"	"195.69.145.175"	"2001:7f8:1::a502:1392:1"	""	""	yes	"euNetworks"	"10000baseLR"	
"Mzima Networks, Inc."	"peering@mzima.net"	"edge-glo-007"	"25973"	"ISP"	"195.69.144.73"	""	""	""	yes	"Global Switch"	"2000baseLX"	
"Nauka-Svyaz LTD"	"noc@naukanet.ru"	"edge-nik-003"	"21011"	"ISP"	"195.69.144.218"	"2001:7f8:1::a502:1011:1"	""	""	yes	"NIKHEF"	"100baseTX"	
"Nauka-Svyaz LTD"	"noc@naukanet.ru"	"edge-nik-004"	"28809"	"ISP"	"195.69.145.218"	""	""	""	yes	"NIKHEF"	"100baseTX"	
"NedLook internet solutions"	"peering@xenosite.net"	"edge-nik-003"	"15426"	"ISP"	"195.69.144.173"	""	""	""	yes	"NIKHEF"	"100baseTX"	
"NedZone Internet B.V."	"peering@nedzone.nl"	"edge-nik-003"	"25459"	"ISP"	"195.69.145.68"	""	""	""	yes	"NIKHEF"	"1000baseSX"	
"Neotelecoms SAS / AS8218"	"peering@as8218.eu"	"pxc-eun-113"	"8218"	"ISP"	"195.69.145.47"	"2001:7f8:1::a500:8218:1"	""	""	yes	"euNetworks"	"10000baseLR"	
"Nerim"	"peering@nerim.net"	"edge-tel-005"	"13193"	"ISP"	"195.69.145.198"	"2001:7f8:1::a501:3193:1"	""	""	no	"TeleCity 2"	"100baseTX"	
"Net Ground B.V."	"peering@netground.nl"	"pxc-glo-117"	"41445"	"ISP"	"195.69.145.33"	""	""	""	yes	"Global Switch"	"10000baseLR"	
"NetCologne GmbH"	"peering@netcologne.de"	"pxc-tel-106"	"8422"	"ISP"	"195.69.145.62"	"2001:7f8:1::a500:8422:1"	""	""	yes	"TeleCity 2"	"10000baseLR"	
"netdirekt e. K."	"info@netdirekt.de"	"pxc-sar-114"	"28753"	"ISP"	"195.69.145.140"	"2001:7f8:1::a502:8753:1"	""	""	yes	"SARA"	"10000baseLR"	
"Netguard BV"	"peering@netguard.nl"	"edge-nik-003"	"31251"	"ISP"	"195.69.145.128"	""	""	""	no	"NIKHEF"	"100baseTX"	
"Netland Internet Services BV"	"peering@netland.nl"	"edge-sar-001"	"20639"	"ISP"	"195.69.144.195"	""	""	""	yes	"SARA"	"100baseTX"	
"Netvictory B.V."	"peering@netvictory.net"	"edge-tel-005"	"29279"	"ISP"	"195.69.144.53"	""	""	""	yes	"TeleCity 2"	"100baseTX"	
"NeufCegetel"	"peering@n9uf.net"	"pxc-tel-106"	"15557"	"ISP"	"195.69.145.171"	""	""	""	no	"TeleCity 2"	"20000baseLR"	
"Neustar"	"nocteam@neustar.biz"	"withheld"	"private"	"GRX"	""	""	""	""	no	"euNetworks"	"1000baseSX"	
"Neustar"	"nocteam@neustar.biz"	"withheld"	"private"	"GRX"	""	""	""	""	no	"euNetworks"	"1000baseSX"	
"Neustar"	"nocteam@neustar.biz"	"withheld"	"private"	"GRX"	""	""	""	""	no	"Global Switch"	"10baseT"	
"Neustar"	"nocteam@neustar.biz"	"edge-glo-007"	"32979"	"ISP"	"195.69.145.233"	""	""	""	no	"Global Switch"	"100baseTX"	
"Neustar"	"nocteam@neustar.biz"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"1000baseSX"	
"Neustar"	"nocteam@neustar.biz"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"1000baseSX"	
"Neustar"	"nocteam@neustar.biz"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"10baseT"	
"New Frontier Technologies"	"nft-arin@noof.com"	"edge-nik-003"	"40761"	"ISP"	"195.69.145.244"	""	""	""	no	"NIKHEF"	"1000baseSX"	
"New Frontier Technologies"	"nft-arin@noof.com"	"edge-nik-004"	"40761"	"ISP"	"195.69.144.75"	""	""	""	no	"NIKHEF"	"1000baseSX"	
"News-Service.com"	"noc@news-service.com"	"pxc-eqx-118"	"8582"	"ISP"	"195.69.145.57"	""	""	""	yes	"Equinix"	"10000baseLR"	
"NL Hosting Internet BV"	"peering@nlhosting.com"	"edge-tel-006"	"24793"	"ISP"	"195.69.144.142"	""	""	""	no	"TeleCity 2"	"1000baseSX"	
"nLayer Communications, Inc."	"peering@nlayer.net"	"pxc-glo-109"	"4436"	"ISP"	"195.69.145.219"	""	""	""	no	"Global Switch"	"20000baseLR"	
"NOB, a unit of Technicolor Network Services"	"noc@thomson.net"	"edge-tel-006"	"20969"	"ISP"	"195.69.145.227"	""	""	""	yes	"TeleCity 2"	"1000baseLX"	
"Nokia Oyj"	"peering@nokia.com"	"edge-tel-006"	"1248"	"ISP"	"195.69.145.238"	"2001:7f8:1::a500:1248:1"	""	""	yes	"TeleCity 2"	"1000baseLX"	
"Nokia Siemens Networks"	"wolfgang.zethner@nsn.com"	"edge-eun-008"	"41932"	"MDX"	""	""	""	"195.69.146.147"	no	"euNetworks"	"100baseTX"	
"NORDUnet A/S"	"peering@nordu.net"	"pxc-sar-111"	"2603"	"ISP, MC"	"195.69.145.203"	"2001:7f8:1::a500:2603:1"	"195.69.146.22"	""	no	"SARA"	"10000baseLR"	
"NPO"	"peering@omroep.nl"	"pxc-nik-112"	"25182"	"ISP"	"195.69.144.243"	"2001:7f8:1::a502:5182:2"	""	""	no	"NIKHEF"	"20000baseLR"	
"NPO"	"peering@omroep.nl"	"pxc-tel-115"	"25182"	"ISP"	"195.69.145.86"	"2001:7f8:1::a502:5182:1"	""	""	no	"TeleCity 2"	"20000baseLR"	
"NTL"	"peering@ntli.net"	"pxc-nik-104"	"5089"	"ISP"	"195.69.144.40"	""	""	""	no	"NIKHEF"	"30000baseLR"	
"NTT Communications Corporation, Network Business Divison, Carrier Relations & Sales Department"	"grx-nw@ntt.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"100baseTX"	
"NTT Communications Corporation, Network Business Divison, Carrier Relations & Sales Department"	"grx-nw@ntt.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"100baseTX"	
"NTT Communications Global IP Network"	"peering@ntt.net"	"edge-tel-005"	"2914"	""	""	""	""	""	no	"TeleCity 2"	"1000baseSX"	
"NTT Communications Global IP Network"	"peering@ntt.net"	"edge-tel-005"	"2914"	"ISP, MC"	"195.69.144.36"	"2001:7f8:1::a500:2914:1"	"195.69.146.21"	""	no	"TeleCity 2"	"4000baseSX"	
"NTT Communications Global IP Network"	"peering@ntt.net"	"pxc-tel-105"	"2914"	"ISP"	"195.69.144.36"	""	""	""	no	"TeleCity 2"	"10000baseER"	
"Nxs Internet B.V."	"peering@nxs.nl"	"pxc-glo-109"	"16237"	"ISP"	"195.69.144.146"	""	""	""	yes	"Global Switch"	"10000baseLR"	
"O2 - UK"	"internet.peering@o2.com"	"pxc-sar-114"	"35228"	"ISP"	"195.69.145.45"	""	""	""	yes	"SARA"	"10000baseER"	
"OBIT"	"peering@obit.ru"	"edge-nik-003"	"8492"	"ISP"	"195.69.145.85"	""	""	""	yes	"NIKHEF"	"100baseTX"	
"Online Breedband BV"	"peering@euro.net"	"pxc-nik-104"	"5390"	"ISP"	"195.69.144.70"	""	""	""	yes	"NIKHEF"	"20000baseLR"	
"Online Breedband BV"	"peering@euro.net"	"pxc-sar-102"	"5390"	"ISP"	"195.69.144.55"	""	""	""	yes	"SARA"	"20000baseLR"	
"Opal Business Solutions"	"peering@opal-solutions.com"	"edge-nik-003"	"8586"	"ISP"	"195.69.144.132"	"2001:7f8:1::a500:8586:1"	""	""	no	"NIKHEF"	"100baseTX"	
"Opal Telecom Ltd."	"ipnoc@opaltelecom.co.uk"	"pxc-sar-111"	"13285"	"ISP"	"195.69.145.34"	""	""	""	no	"SARA"	"10000baseLR"	
"Open Peering"	"peering@openpeering.nl"	"pxc-eun-113"	"20562"	"ISP"	"195.69.145.197"	""	""	""	yes	"euNetworks"	"10000baseLR"	
"Open Peering"	"peering@openpeering.nl"	"pxc-nik-103"	"20562"	"ISP"	"195.69.144.189"	""	""	""	yes	"NIKHEF"	"30000baseLR"	
"OpenCarrier e.G."	"peering@opencarrier.eu"	"edge-tel-006"	"41692"	"ISP"	"195.69.145.221"	"2001:7f8:1::a504:1692:1"	""	""	yes	"TeleCity 2"	"1000baseLX"	
"Orange Business Services"	"peering@orange-ftgroup.com"	"edge-sar-002"	"5583"	"ISP"	"195.69.144.66"	""	""	""	no	"SARA"	"1000baseSX"	
"Orange Nederland N.V."	"interconnect@orangemail.nl"	"edge-sar-001"	"64649"	"MDX"	""	""	""	"195.69.146.140"	no	"SARA"	"10baseT"	
"Orange Nederland N.V."	"interconnect@orangemail.nl"	"edge-tel-005"	"64649"	"MDX"	""	""	""	"195.69.146.141"	no	"TeleCity 2"	"10baseT"	
"OTE International Solutions S.A."	"peering@oteglobe.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"100baseTX"	
"OTE International Solutions S.A."	"peering@oteglobe.net"	"edge-tel-006"	"12713"	"ISP"	"195.69.144.179"	""	""	""	no	"TeleCity 2"	"2000baseLX"	
"OTE International Solutions S.A."	"peering@oteglobe.net"	"pxc-glo-117"	"12713"	"ISP"	"195.69.144.179"	""	""	""	no	"Global Switch"	"10000baseER"	
"OVH"	"noc@ovh.com"	"pxc-glo-109"	"16276"	"ISP"	"195.69.145.231"	""	""	""	yes	"Global Switch"	"20000baseLR"	
"Packet Clearing House"	"peering@pch.net"	"edge-eun-008"	"3856"	"ISP"	"195.69.145.250"	""	""	""	yes	"euNetworks"	"10baseT"	
"Packet Clearing House"	"peering@pch.net"	"edge-eun-008"	"42"	"ISP"	"195.69.144.250"	""	""	""	yes	"euNetworks"	"100baseTX"	
"Panther IT Services"	"amsix@panther-it.nl"	"edge-tel-006"	"43560"	"ISP"	"195.69.145.95"	""	""	""	yes	"TeleCity 2"	"1000baseSX"	
"PCCW Global"	"peering@cais.net"	"pxc-nik-112"	"3491"	"ISP"	"195.69.145.37"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Peer 1 Network"	"peering@peer1.com"	"edge-sar-002"	"13768"	"ISP"	"195.69.145.209"	""	""	""	no	"SARA"	"2000baseLX"	
"PINS Nederland B.V."	"peering@pins-web.net"	"edge-nik-004"	"20747"	"ISP"	"195.69.144.145"	""	""	""	yes	"NIKHEF"	"1000baseSX"	
"Plant hosting & co-location B.V."	"peering@plant.nl"	"edge-sar-002"	"15509"	"ISP"	"195.69.144.147"	""	""	""	no	"SARA"	"1000baseSX"	
"Plex Elektronische Informatie BV"	"ams-ix.peering@plex.net"	"edge-nik-003"	"21478"	"ISP"	"195.69.144.216"	""	""	""	no	"NIKHEF"	"100baseTX"	
"PLUSINFO LTD"	"peering@plus.ru"	"edge-nik-003"	"28870"	"ISP"	"195.69.144.86"	""	""	""	yes	"NIKHEF"	"100baseTX"	
"Plusline AG"	"peering@plusline.net"	"edge-tel-005"	"12306"	"ISP"	"195.69.144.161"	""	""	""	no	"TeleCity 2"	"100baseTX"	
"Port80 AB"	"peering-req@p80.net"	"pxc-tel-106"	"16150"	"ISP"	"195.69.145.52"	"2001:7f8:1::a501:6150:1"	""	""	yes	"TeleCity 2"	"10000baseLR"	
"Portugal Telecom Comunicacoes, SA (IPv6)"	"peering@cprm.net"	"edge-tel-005"	"8657"	"ISP"	""	"2001:7f8:1::a500:8657:1"	""	""	yes	"TeleCity 2"	"100baseTX"	
"Portugal Telecom Comunicacoes, SA (was Marconi)"	"peering@cprm.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"10baseT"	
"Portugal Telecom Comunicacoes, SA (was Marconi)"	"peering@cprm.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"10baseT"	
"Portugal Telecom Comunicacoes, SA"	"peering@cprm.net"	"edge-tel-005"	"8657"	"ISP"	"195.69.144.217"	""	""	""	no	"TeleCity 2"	"3000baseSX"	
"Portugal Telecom Comunicacoes, SA"	"peering@cprm.net"	"pxc-tel-105"	"8657"	"ISP"	"195.69.144.217"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"Priority Telecom Netherlands BV"	"peering@prioritytelecom.com"	"edge-sar-002"	"13646"	"ISP"	"195.69.144.117"	""	""	""	no	"SARA"	"1000baseSX"	
"Probe Networks"	"peering@probe-networks.de"	"edge-tel-005"	"29686"	"ISP"	"195.69.145.56"	"2001:7f8:1::a502:9686:1"	""	""	no	"TeleCity 2"	"1000baseLHA"	
"ProServe B.V."	"noc@proserve.nl"	"pxc-eun-113"	"21155"	"ISP"	"195.69.145.63"	"2001:7f8:1::a502:1155:2"	""	""	yes	"euNetworks"	"10000baseLR"	
"ProServe B.V."	"noc@proserve.nl"	"pxc-nik-112"	"21155"	"ISP"	"195.69.144.214"	"2001:7f8:1::a502:1155:1"	""	""	yes	"NIKHEF"	"10000baseLR"	
"Proxility"	"peering@proxility.net"	"edge-tel-005"	"43293"	"ISP"	"195.69.144.182"	"2001:7f8:1::a504:3293:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"Qatar Telecom (Qtel) Q.S.C"	"peering@isp.qa"	"edge-sar-001"	"8781"	"ISP"	"195.69.145.120"	""	""	""	no	"SARA"	"1000baseLX"	
"Qore Networks"	"peering@qore.nl"	"edge-glo-007"	"34430"	"ISP"	"195.69.145.96"	""	""	""	yes	"Global Switch"	"1000baseSX"	
"RCS & RDS"	"peering@rdsnet.ro"	"pxc-tel-110"	"8708"	"ISP"	"195.69.144.51"	"2001:7f8:1::a500:8708:1"	""	""	no	"TeleCity 2"	"10000baseLR"	
"REACH"	"peering@reach.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"10baseT"	
"Reasonnet IP Networks"	"peeringeu@reasonnet.com"	"edge-nik-003"	"25525"	"ISP"	"195.69.144.121"	""	""	""	no	"NIKHEF"	"1000baseSX"	
"Reasonnet IP Networks"	"peeringeu@reasonnet.com"	"pxc-glo-109"	"25525"	"ISP"	"195.69.145.23"	"2001:7f8:1::a502:5525:1"	""	""	no	"Global Switch"	"10000baseLR"	
"Redstone Managed Solutions"	"peering@redstone.co.uk"	"edge-nik-003"	"5552"	"ISP"	"195.69.144.207"	""	""	""	no	"NIKHEF"	"100baseTX"	
"Renesys Corp"	"sysops@renesys.com"	"edge-eun-008"	"64597"	"ISP"	"195.69.144.230"	"2001:7f8:1::a506:4597:1"	""	""	no	"euNetworks"	"100baseTX"	
"Renesys Corp"	"sysops@renesys.com"	"edge-eun-008"	"64597"	"ISP"	"195.69.145.230"	""	""	""	no	"euNetworks"	"100baseTX"	
"RETN Ltd."	"peering@retn.net"	"pxc-tel-110"	"9002"	"ISP"	"195.69.145.216"	"2001:7f8:1::a500:9002:1"	""	""	no	"TeleCity 2"	"10000baseLR"	
